District,Cereals,Maize,Sorghum,Paddy rice,Wheat,Other cereals,Tubers and Roots,Cassava,Sweet potatoes,Irish potatoes,Yams & Taro,Bananas,Cooking banana,Dessert banana,Banana for beer,Legumes and Pulses,Beans,Bush bean,Climbing bean,Peas,Ground nuts,Soya beans,Vegetables and Fruits,vegetables,Fruits,Other crops
Nyarugenge,446,446,-,-,-,-,1339,1031,240,11,56,1339,249,154,935,1462,1363,1255,109,6,46,46,580,182,397,384
Gasabo,3891,3821,-,25,-,45,6424,4531,998,301,594,4374,2093,1369,911,6751,5991,5903,88,73,423,265,665,622,43,1923
Kicukiro,927,925,-,-,-,2,1305,764,353,23,165,1108,488,281,339,1428,1258,1230,28,1,57,113,362,236,126,457
Nyanza,5905,4920,635,44,-,306,10058,6081,2448,295,1233,6486,1315,2168,3002,11849,9948,8943,1005,211,727,963,887,769,118,414
Gisagara,7896,5793,403,572,-,1128,10698,7224,1720,505,1250,9802,2146,1438,6218,15458,13267,12243,1024,104,583,1504,634,581,53,463
Nyaruguru,2466,2405,-,-,44,16,11550,4214,4312,1576,1447,2708,607,703,1397,4597,3557,871,2686,285,190,565,322,322,-,478
Huye,2864,1308,-,1305,-,250,7533,5094,1481,373,585,5182,599,1189,3395,8976,7530,6413,1117,332,246,868,763,763,-,403
Nyamagabe,3265,3202,16,-,-,47,14379,4600,7248,1125,1407,5404,805,675,3924,8985,7143,2025,5118,840,-,1003,584,411,173,452
Ruhango,3519,2906,52,66,-,496,15347,11606,2128,227,1386,6849,382,1225,5242,13478,10325,9376,949,133,1402,1619,543,446,96,899
Muhanga,2251,1829,15,200,-,207,19081,10961,4028,110,3981,13394,1760,2582,9051,9758,6523,3897,2625,129,-,3106,588,567,20,875
Kamonyi,5974,5869,5,9,-,90,15021,9794,3301,150,1775,11674,2003,1926,7745,15551,12173,11280,893,160,1375,1843,819,782,37,1393
Karongi,3960,3793,67,-,-,101,15561,7814,5067,562,2118,8465,797,875,6793,6029,5047,1745,3302,370,-,613,1013,573,441,501
Rutsiro,7844,7490,77,-,265,12,10494,2847,3262,2877,1508,4295,860,1075,2360,4739,3829,246,3583,270,-,640,1252,398,854,2088
Rubavu,4184,4075,27,-,81,-,5686,116,1205,4264,101,953,683,84,187,4251,4007,62,3945,141,-,103,1258,1155,104,650
Nyabihu,3719,2471,716,-,532,-,9938,447,2661,6696,134,1091,237,147,706,7041,5947,194,5753,1069,-,25,764,421,343,2657
Ngororero,4655,3724,654,59,218,-,20432,8393,7841,1124,3074,9617,609,1434,7575,7555,6217,885,5333,533,-,805,900,794,107,589
Rusizi,5634,5106,88,436,-,4,19220,16185,938,210,1887,3901,1028,357,2516,8205,7386,6549,837,5,198,616,1161,947,214,905
Nyamasheke,3625,3419,53,129,-,24,19518,13557,4111,35,1816,4459,1287,344,2828,8508,5163,1574,3589,20,639,2687,661,441,221,1225
Rulindo,5453,5299,-,-,154,-,11733,6919,3380,553,882,7835,1613,2040,4182,11167,10459,8169,2290,313,162,233,631,582,49,506
Gakenke,9951,9612,2,-,112,225,17695,6988,6917,1515,2275,10173,1848,2853,5472,11069,9656,1760,7896,586,137,689,1069,667,402,1328
Musanze,7300,4749,1655,-,896,-,7924,589,1953,4869,514,2028,375,635,1018,4828,4540,121,4419,164,-,125,1278,950,328,1873
Burera,10384,6658,3039,-,656,31,8663,634,3804,3897,328,2341,806,218,1317,11083,9671,1049,8622,1303,-,108,798,670,128,1070
Gicumbi,5407,5246,8,-,123,30,12378,5456,4297,1953,671,8694,3399,1939,3356,20216,18057,6652,11405,1250,580,329,1896,1565,331,766
Rwamagana,8955,8786,4,60,-,105,12232,7445,2489,1144,1155,10769,7249,1456,2065,13834,11942,11629,314,155,1328,408,1838,1573,265,916
Nyagatare,42253,29038,11785,352,-,1079,15291,13180,1489,320,302,13778,9664,1055,3059,25623,18231,17207,1025,243,6473,675,1243,952,291,187
Gatsibo,20625,16708,2868,195,201,653,12500,9666,1287,549,997,16307,8365,2714,5227,20143,16974,15841,1133,160,2294,716,482,348,135,239
Kayonza,16609,12947,2056,408,-,1198,16603,12841,1920,1055,786,15318,11540,1282,2497,17661,16015,15918,97,325,1037,284,846,650,195,539
Kirehe,22070,20388,1178,268,-,236,15212,11975,1088,1137,1012,18647,14289,416,3942,17112,15376,14379,997,191,1290,255,354,294,60,296
Ngoma,16844,15364,272,405,-,803,16483,12822,2031,806,825,16590,13372,763,2455,13312,9940,9418,522,-,2856,516,867,593,274,470
Bugesera,13853,9669,3958,-,-,226,20787,16012,3716,-,1059,14140,6014,2015,6112,13597,10265,10143,122,-,2947,385,904,639,265,442
